repo,finding_id,compile,smoke
realvuln-vulnpy,py_reflective_xss_src_vulnpy_fastapi_vulnerable_py_44,Y,CRASH
realvuln-vulnpy,py_reflective_xss_src_vulnpy_flask_blueprint_py_57,Y,CRASH
realvuln-vulnpy,py_shell_command_constructed_from_input_apps_falcon_app_py_63,Y,CRASH
vc-claude-code-seeded-v2-healthcare-clinic-django,py_code_injection_clinic_portal_patient_operations_py_88,Y,CRASH
vc-claude-code-seeded-v2-healthcare-clinic-django,py_xxe_clinic_portal_patient_operations_py_188,Y,CRASH
vc-claude-code-seeded-v2-hr-payroll-django,py_code_injection_hr_portal_payroll_operations_py_97,Y,CRASH
vc-claude-code-seeded-v2-hr-payroll-django,py_command_line_injection_hr_portal_payroll_operations_py_156,Y,CRASH
vc-claude-code-seeded-v2-hr-payroll-django,py_cookie_injection_hr_portal_payroll_operations_py_105,Y,CRASH
vc-claude-code-seeded-v2-hr-payroll-django,py_jinja2_autoescape_false_hr_portal_payroll_operations_py_139,Y,CRASH
vc-claude-code-seeded-v2-hr-payroll-django,py_nosql_injection_hr_portal_payroll_operations_py_165,Y,CRASH
vc-claude-code-seeded-v2-hr-payroll-django,py_path_injection_hr_portal_payroll_operations_py_147,Y,CRASH
vc-claude-code-seeded-v2-hr-payroll-django,py_path_injection_hr_portal_payroll_operations_py_148,Y,CRASH
vc-claude-code-seeded-v2-hr-payroll-django,py_path_injection_hr_portal_payroll_operations_py_42,Y,CRASH
vc-claude-code-seeded-v2-support-desk-fastapi,py_full_ssrf_backend_app_support_operations_py_75,Y,CRASH
vc-claude-code-seeded-v2-support-desk-fastapi,py_path_injection_backend_app_support_operations_py_56,Y,CRASH
vc-claude-code-seeded-v2-support-desk-fastapi,py_path_injection_backend_app_support_operations_py_57,Y,CRASH
vc-claude-code-seeded-v2-support-desk-fastapi,py_path_injection_backend_app_support_operations_py_97,Y,CRASH
vc-claude-code-seeded-v2-support-desk-fastapi,py_reflective_xss_backend_app_support_operations_py_25,Y,CRASH
vc-codex-high-seeded-v2-crm-saas-django,py_clear_text_storage_sensitive_data_config_partner_console_py_92,Y,CRASH
vc-codex-high-seeded-v2-crm-saas-django,py_command_line_injection_config_partner_console_py_185,Y,CRASH
vc-codex-high-seeded-v2-crm-saas-django,py_jinja2_autoescape_false_config_partner_console_py_142,Y,CRASH
vc-codex-high-seeded-v2-crm-saas-django,py_path_injection_config_partner_console_py_150,Y,CRASH
vc-codex-high-seeded-v2-crm-saas-django,py_path_injection_config_partner_console_py_151,Y,CRASH
vc-codex-high-seeded-v2-crm-saas-django,py_path_injection_config_partner_console_py_42,Y,CRASH
vc-codex-high-seeded-v2-crm-saas-django,py_path_injection_config_partner_console_py_91,Y,CRASH
vc-codex-high-seeded-v2-crm-saas-django,py_path_injection_config_partner_console_py_92,Y,CRASH
vc-codex-high-seeded-v2-crm-saas-django,py_template_injection_config_partner_console_py_142,Y,CRASH
vc-codex-high-seeded-v2-healthcare-clinic-django,py_cookie_injection_clinic_portal_patient_operations_py_96,Y,CRASH
